Country,Latregion,Lat_mean,Long_mean,iso3Code,region,incomeLevel,wbLong,wbLat,population,landAreaSqkm,popDensity,popLargestCity,lifeExpectancy,gdpCapita,airTransport,carrierDepart,giniIndex,healthExpend,countryWB,soc_econ,huma_exem,lockdown,mov_rest,pub_health,soc_dist,CountryFree,WEBNAME,RegionFree,World Rank,Region Rank,2020 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),confirmedTotal,confirmZeroDays,confirmInfectDays,deathsTotal,deathsZeroDays,deathsInfectDays,recoveredTotal,recoveredZeroDays,recoveredInfectDays,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20
Azerbaijan,Upper,40.1431,47.5769,AZE,Europe & Central Asia,Upper middle income,49.8932,40.3834,9939800,82670,120.234667956937,2285729,72.864,4722.38167888335,2279546,19960,,6.65182918310165,Azerbaijan,3,0,7,12,9,7,Azerbaijan,Azerbaijan,Europe,44,24,69.3,67.1,53.9,38.7,88,63,99.2,80.8,66.2,69.8,74.6,70,60,5.2,25,20,13.3,35.1066666666667,9.94,179.673,1.352,0.4,18075.9,5.2,2.3,1403,19.382,3631,39,81,43,51,69,2253,49,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,1,0,1,1,0,2,0,3,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,2,0,0,3,1,0,1,2,0,1,0,3,1,1,2
San Marino,Upper,43.9424,12.4578,SMR,Europe & Central Asia,High income,12.4486,43.9322,33785,60,563.083333333333,,85.4170731707317,48494.5514112427,,,,7.36408308148384,San Marino,3,0,0,6,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,36,84,41,41,79,220,52,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,2,0,4,0,3,6,0,0,1,0,0,0,1,0,3,1,0,4,0,2,0,0,2,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,Upper,38.861034,71.276093,TJK,Europe & Central Asia,Low income,68.7864,38.5878,9100837,138790,65.5727141724908,872653,70.879,826.621530538704,492320,4021,34,7.22881481051445,Tajikistan,5,0,0,2,11,6,Tajikistan,Tajikistan,Asia-Pacific,155,37,52.2,49.1,50,32,91.8,62.3,26,65.9,47.7,71,75,25,30,5,13,15,20.6,34,9.107,31.108,7,6.7,3415.78,10.9,3.848,316.735370939323,47.883,2140,99,21,41,101,19,470,118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,4,0,8,0,1,0,2,6,4,3,3,2,0,0
Kazakhstan,Upper,48.0196,66.9237,KAZ,Europe & Central Asia,Upper middle income,71.4382,51.1879,18272430,2699700,6.76831870207801,1829005,73.15,9814.7862577328,7143797,83287,27.5,3.12536172568798,Kazakhstan,10,0,4,4,11,1,Kazakhstan,Kazakhstan,Asia-Pacific,39,10,69.6,61.3,62.1,40.9,92.3,85.5,84.1,74.6,86,68.1,80.2,50,50,2.4,10,20,16.4,21.989,18.463,508.642,4.1,2.9,27549.81,4.9,6.025,3816.579,21.879,6969,51,69,35,58,62,3734,64,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,1,0,0,0,0,1,1,0,3,-1,1,0,0,1,1,2,0,0,2,2,2,1,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,1,0,0,0,2,0,0,1,0,0
Albania,Upper,41.1533,20.1683,ALB,Europe & Central Asia,Upper middle income,19.8172,41.3317,2866376,27400,104.612262773723,475577,78.458,5268.84850355919,303137,2935,33.2,,Albania,15,0,2,13,11,14,Albania,Albania,Europe,57,30,66.9,57.1,33,38.8,85.9,74.6,86.3,65.7,52.1,81.2,88.4,70,70,0.8,23,15,25.7,29.0826666666667,2.874,38.356,4.162,3.1,13344.54,13.9,2.029,1293.61772447739,68.59,964,47,73,31,49,71,758,59,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,2,2,0,1,4,0,1,1,3,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,Upper,42.602636,20.902977,XKX,Europe & Central Asia,Upper middle income,20.926,42.565,1845300,10887,168.154679893451,,72.1951219512195,4302.27648252378,,,29,,Kosovo,0,0,0,0,0,0,Kosovo,Kosovo,Europe,53,28,67.4,66.3,54.1,39.2,92.6,76.5,94,75,61,78.4,76.2,65,30,4.4,10,10,23.3,28.0036666666667,1.8,20.942,4,3.5,11551.58,30.5,1.056,3590,17.005,989,64,56,29,64,56,769,65,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,1,0,3,1,0,0,3,3,0,1,0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Slovakia,Upper,48.669,19.699,SVK,Europe & Central Asia,High income,17.1073,48.1484,5446771,48080,113.285586522463,429920,77.1658536585366,19443.5624621918,7925,51,25.2,6.74253478646278,Slovak Republic,16,0,1,8,44,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496,44,76,28,56,64,1231,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,1,2,1,1,1,0,1,2,0,1,0,2,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Lebanon,Upper,33.8547,35.8623,LBN,Middle East & North Africa,Upper middle income,35.5134,33.8872,6848925,10230,669.494134897361,2385271,78.875,8269.78767551923,2981937,25740,31.8,8.19554403424263,Lebanon,5,0,2,17,5,11,Lebanon,Lebanon,Middle East and North Africa,157,12,51.7,44.6,30.8,25,90.8,72.5,0,45.6,47.8,75.6,77.4,60,50,3.8,20,17,15.2545597166436,30.2593333333333,6.094,89.478,0.25,0.9,14684.07,6.2,6.068,2879.826,150.92,961,30,90,26,48,72,251,42,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,2,1,1,2,2,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,Upper,56.8796,24.6032,LVA,Europe & Central Asia,High income,24.1048,56.9465,1927174,62180,30.9934705693149,637089,74.6780487804878,17854.7599635064,4058762,54356,35.6,5.95566183328629,Latvia,38,0,0,11,29,22,Latvia,Latvia,Europe,32,17,71.9,72.3,51.1,46.4,76.9,58.3,96.5,77,72.4,80.2,86.4,85,60,1.8,31.4,20,30.4,37.2996666666667,1.934,57.84,4.77,3.3,29901.29,7.9,2.554,879.377707480022,37.578,1016,40,80,21,72,48,694,48,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0
Cyprus,Upper,35.1264,33.4299,CYP,Europe & Central Asia,High income,33.3736,35.1676,1189265,9240,128.708333333333,,80.828,28689.6985789646,401408,5456,31.4,6.68456926941872,Cyprus,13,0,1,22,14,22,Cyprus,Cyprus,Europe,37,20,70.1,77.4,50.5,57.6,74.8,58.6,80,76.6,59.7,84.3,86.4,75,60,1.8,35,12.5,33.7,37.144,0.864,34.546,3.878,2.8,39973.22,8.1,0.784,3284.99864257132,102.544,922,47,73,17,60,60,516,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,2,1,1,1,1,0,-2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Kyrgyzstan,Upper,41.2044,74.7661,KGZ,Europe & Central Asia,Lower middle income,74.6057,42.8851,6322800,191800,32.9655891553702,996319,71.4,1279.94505737786,709198.932479812,16344.3719734617,27.7,6.1858631670475,Kyrgyz Republic,4,0,2,8,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,56,64,14,72,48,910,68,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Uzbekistan,Upper,41.3775,64.5853,UZB,Europe & Central Asia,Lower middle income,69.269,41.3052,32955400,425400,77.4692054536906,2463969,71.573,1532.37167679684,3056558,21514,,6.41438513994217,Uzbekistan,0,0,0,2,1,1,Uzbekistan,Uzbekistan,Asia-Pacific,114,26,57.2,59.1,34.2,28.2,91.6,74.7,98.9,72.6,59.9,59.9,67.6,20,20,8.7,22,7.5,17.3,29.022,32.657,250.328,5,7.8,7665.45,5.2,17.899,412.409,23.539,2939,53,67,13,65,55,2372,65,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Georgia,Upper,42.3154,43.3569,GEO,Europe & Central Asia,Upper middle income,44.793,41.71,3726549,69490,65.2752020714511,1077333,73.6,4722.77719386493,516034,7108,36.4,7.60165899991989,Georgia,9,0,5,24,8,8,Georgia,Georgia,Europe,12,6,77.1,68.6,57.9,64.8,87.1,73.6,94.4,85.3,76.3,78.3,88.6,80,70,0.7,20,15,25.7,29.637,3.71,42.606,4.708,4,11485.44,14.1,2.615,1232.448,44.543,713,35,85,12,73,47,475,54,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Iceland,Upper,64.9631,-19.0208,ISL,Europe & Central Asia,High income,-21.8952,64.1353,352721,100250,3.51841396508728,,82.6609756097561,73368.1174642654,7819740.55998243,54653.3025910987,26.8,8.32629129290581,Iceland,28,0,0,6,29,17,Iceland,Iceland,Europe,13,7,77.1,87.6,63.2,90.3,71.7,44.1,97.5,84.7,63.5,80.3,86.8,85,70,1.6,31.8,20,37.7,43.152758988,0.348,19.484,4.612,4.5,55917.32,2.9,2.683,-335.816616371275,35.428,1803,37,83,10,53,67,1789,48,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,1,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Upper,31.24,36.51,JOR,Middle East & North Africa,Upper middle income,35.9263,31.9497,9956011,88780,112.14249831043,2064582,74.405,4241.78878213854,3383805,36127,33.7,8.11925083398819,Jordan,6,0,6,23,3,7,Jordan,Jordan,Middle East and North Africa,66,5,66,64.8,54.6,49.6,91.8,73.5,55.9,60.1,52.5,77.6,81.2,70,60,4.4,14,20,15.0271598104003,29.695,9.904,93.427,2,2.3,9433.46,15,4.462,949.859154929578,94.232,672,41,79,9,65,55,446,51,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,Upper,42.5,19.3,MNE,Europe & Central Asia,Upper middle income,19.2595,42.4602,622227,13450,46.2622304832714,,76.77,8845.91421887296,565522,6887,39,,Montenegro,7,0,1,18,6,10,Montenegro,Montenegro,Europe,91,42,61.5,59.1,55.3,47.5,85.4,32.1,23.4,70.8,74.8,80.3,83.8,75,50,3.1,9,9,36,47.5583333333333,0.624,11.891,4.501,3.5,19043.32,15.5,2.604,489.624523424498,72.073,324,55,65,9,61,59,312,72,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Malta,Upper,35.9375,14.3754,MLT,Middle East & North Africa,High income,14.5189,35.9042,484630,320,1514.46875,,82.3463414634146,30029.9670447209,2576898,20903,29.2,9.34099927544594,Malta,14,0,2,6,35,12,Malta,Malta,Europe,42,22,69.5,70.5,49.6,55.1,64.8,60,95.9,68,61.1,77.1,86.4,85,60,1.8,35,35,32.7,36.4963333333333,0.467,21.298,6.392,7.6,45605.88,4.6,1.741,4061.18934359471,45.369,584,45,75,6,77,43,465,51,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Monaco,Upper,43.7333,7.4167,MCO,Europe & Central Asia,High income,7.41891,43.7325,38682,2,19196,,,185741.279991587,316,3,,1.77270229905844,Monaco,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,38,82,4,67,53,90,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,Upper,34.802075,38.996815,SYR,Middle East & North Africa,Low income,36.3119,33.5146,16906283,183630,92.0671077710614,2319545,71.779,,17896.9211653632,167.753530166881,,3.56564745306969,Syrian Arab Republic,3,0,2,13,14,10,Syria,Syria,Middle East and North Africa,,,,45.6,20.8,21.9,,,,48.9,59.2753515965205,58.8,51.6,0,,,,,,,18.34,64.5,5,-3.1,3520,8.1,0.9,,130.6,58,60,60,3,67,53,36,73,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,Upper,47.14,9.55,LIE,Europe & Central Asia,High income,9.52148,47.1411,37910,160,236.9375,,83.7463414634147,165028.245029187,,,,,Liechtenstein,10,0,0,4,18,26,Liechtenstein,Liechtenstein,Europe,,,,,,,,,,,,,,85,80,,8,12.5,,,0.038,,,,,1.8,0.5,,,82,42,78,1,73,47,55,75,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,Upper,46.8625,103.8467,MNG,East Asia & Pacific,Lower middle income,106.937,47.9129,3170208,1553560,2.04060866654651,1520381,69.689,4121.73243469391,670360,7777,32.7,4.00230102241039,Mongolia,7,0,1,10,16,5,Mongolia,Mongolia,Asia-Pacific,127,30,55.9,50.3,23,36.9,87.4,66.6,9.3,63.6,75.7,74.2,74,50,60,5.5,10,25,23.2,33.39,3.238,43.544,6.949,4.7,13446.54,6.3,7.65,2173.741,73.3,140,48,72,0,120,0,26,68,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Lower,-14.235,-51.9253,BRA,Latin America & Caribbean ,Upper middle income,-47.9292,-15.7801,209469333,8358140,25.0617162430876,21650181,75.672,9001.23424863499,102109977,832683,53.9,9.46747660636902,Brazil,7,0,2,14,13,6,Brazil,Brazil,Americas,144,25,53.7,57.3,46.7,45.6,70.4,54.6,4.6,60.5,49.5,77.2,67.8,60,50,8.6,27.5,34,32.3,38.8863333333333,208.325,3365.343,1.113,-0.8,16154.33,12.5,3.665,61223.012,87.877,291579,35,85,18859,55,65,116683,54,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4,10,9,12,13,18,15,19,25,23,42,39,84,35,86,41,78,122,133,131,107,67,99,105,204,204,188,217,213,108,125,154,165,425,373,353,229,317,480,430,493,406,349,290,316,571,650,602,827,639,467,530,808,779,759,963,700,456,735,1130,876
Peru,Lower,-9.19,-75.0152,PER,Latin America & Caribbean ,Upper middle income,-77.0465,-12.0931,31989256,1280000,24.99160625,10390607,76.516,6941.23584763012,17758527.272,141025.363,42.8,4.99515049159527,Peru,12,0,10,14,4,7,Peru,Peru,Americas,51,8,67.9,54.9,30.6,33.5,80.8,86.4,89,67.1,62.9,86.3,88.4,75,60,0.8,30,28,15.3,21.3003333333333,32.162,457.483,3.994,3.2,14224.26,2.8,1.317,6175.066,26.755,104020,44,76,3024,58,62,41968,55,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,2,0,2,5,2,6,6,8,17,6,12,10,9,15,14,17,31,12,12,23,14,24,20,26,48,52,45,39,46,42,62,66,28,54,72,89,108,73,76,86,58,100,89,94,87,100,75,72,96,112,98,125,131,125,141,125,110
Ecuador,Lower,-1.8312,-78.1834,ECU,Latin America & Caribbean ,Upper middle income,-78.5243,-0.229498,17084357,248360,68.7886817522951,2898796,76.8,6344.87197850057,5365261,53033,45.4,8.25742930173874,Ecuador,7,0,3,17,7,5,Ecuador,Ecuador,Americas,158,28,51.3,40.4,20.7,33.4,77.5,57.9,62.3,53.8,48,81,66,35,40,7,35,25,19.9,37.4546666666667,17.023,199.481,1.054,1.2,11718.05,3.9,-0.224,1401.03,46.132,34854,39,81,2888,52,68,3557,59,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,7,4,9,1,6,2,12,10,2,15,18,27,25,27,8,11,0,51,30,25,18,18,22,14,19,15,18,35,18,33,13,17,23,16,0,0,87,208,12,17,163,308,193,5,0,49,36,50,13,410,18,182,7,4,256,94,48,63,40,49
Indonesia,Lower,-0.7893,113.9213,IDN,East Asia & Pacific,Lower middle income,106.83,-6.19752,267663435,1811570,147.75219008926,10516927,71.509,3893.59607757239,115154100.909,959307.381,39,2.98905447125435,Indonesia,1,0,2,23,14,2,Indonesia,Indonesia,Asia-Pacific,54,12,67.2,59.8,56.2,37.2,83.4,91.7,90.2,70,49.2,78.4,80.8,50,60,2.1,30,25,11.5,16.6776666666667,264.162,3494.737,5.171,5,13229.54,4.3,3.198,21979.79,29.196,19189,40,80,1242,49,71,4575,48,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,14,6,7,6,10,1,6,3,20,9,15,12,8,14,21,13,11,10,7,11,12,19,40,26,21,46,26,60,10,27,24,15,47,8,26,19,12,42,31,23,22,8,11,8,8,31,14,19,8,23,35,13,16,14,18,16,21,15,33,13,59,43,30,21
Philippines,Lower,13,122,PHL,East Asia & Pacific,Lower middle income,121.035,14.5515,106651922,298170,357.688305329175,13482468,71.095,3102.71336329931,43080118,292450,44.4,4.44640778005123,Philippines,80,0,19,45,78,40,Philippines,Philippines,Asia-Pacific,70,14,64.5,54.6,34.2,38.7,76.7,87.9,96.3,59.5,57.4,66.9,81.6,60,60,1.7,35,30,14.2,20.118,106.6,952.569,6.202,6.4,8935.92,2.5,5.212,6456.24832479604,39.602,13221,8,112,842,11,109,2932,21,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,0,7,-2,1,1,6,8,2,3,7,9,14,3,7,10,8,11,29,8,8,11,14,5,21,18,26,50,18,20,14,13,25,10,12,19,9,9,16,15,17,7,10,19,28,10,11,24,4,16,14,21,27,11,8,15,7,25,21,18,16,11,7,7,6,5
